25-07-11 00:27:00.736 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet' 
25-07-11 00:27:00.739 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet' 
25-07-11 00:27:00.740 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms 
25-07-11 00:27:01.755 [http-nio-8080-exec-8] INFO  o.s.api.AbstractOpenApiResource - Init duration for springdoc-openapi is: 438 ms 
25-07-11 00:27:57.406 [main] INFO  n.e.journalApp.JournalApplication - Starting JournalApplication using Java 17.0.15 on LAPTOP-953U2DJJ with PID 17308 (D:\SpringBoot\journalApp\journalApp\target\classes started by Himanshu Raturi in D:\SpringBoot\journalApp) 
25-07-11 00:27:57.409 [main] DEBUG n.e.journalApp.JournalApplication - Running with Spring Boot v2.7.16, Spring v5.3.30 
25-07-11 00:27:57.410 [main] INFO  n.e.journalApp.JournalApplication - The following 1 profile is active: "dev" 
25-07-11 00:27:58.174 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode. 
25-07-11 00:27:58.228 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 48 ms. Found 2 MongoDB repository interfaces. 
25-07-11 00:27:58.793 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http) 
25-07-11 00:27:58.799 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"] 
25-07-11 00:27:58.806 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat] 
25-07-11 00:27:58.807 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.80] 
25-07-11 00:27:58.874 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext 
25-07-11 00:27:58.874 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1389 ms 
25-07-11 00:27:59.046 [cluster-ClusterId{value='68700d379516ed5c6b631462', description='null'}-srv-cluster0.6ws9j9u.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-kqdojm1-shard-00-02.6ws9j9u.mongodb.net:27017 to client view of cluster 
